date,open,high,low,close,volume,change_pct,dataset,simple_return,log_return,log_open_close,log_high_low,price_range_pct,close_to_open_ratio,volume_log_change,log_return_mean_5,log_return_std_5,volume_ma_5,log_return_mean_10,log_return_std_10,volume_ma_10,log_return_mean_21,log_return_std_21,volume_ma_21
2007-04-24,12059.83,12278.54,12051.99,12271.57,,1.91,MASI,0.019129274999314827,0.018948610766396933,0.01740510988363814,0.018623231612670852,0.01846137046848945,1.0175574614235856,,0.009688045887489314,0.006206843035324251,,0.006603181081432613,0.00538158703796885,,0.00319816708960996,0.006218890446854015,
2007-04-25,12263.48,12319.32,11976.07,12273.26,,0.01,MASI,0.0001377166898774984,0.0001377072078047128,0.0007971719566592857,0.028258269653264282,0.027967304530336683,1.000797489782672,,0.008900915297564847,0.007257513384106732,,0.006374979984318725,0.005621719236555588,,0.003221867174847216,0.006205586484894712,
2007-04-26,12239.13,12335.96,12229.32,12243.75,,-0.24,MASI,-0.002404414149133949,-0.002407309394678212,0.00037740658409783005,0.00868222710146826,0.008709749872383822,1.000377477810923,,0.007041641686696007,0.00890547428327634,,0.0058298131623974545,0.0062137575441840245,,0.003225864784167492,0.006201747950446059,
2007-04-27,12224.3,12297.02,12210.21,12284.36,,0.33,MASI,0.0033167942827974084,0.003311305853286164,0.004901134556165829,0.0070844696100229665,0.007066709213992532,1.0049131647619907,,0.006607605653432281,0.009052199624593917,,0.0055299718327630155,0.006260196717188067,,0.0029441731480896404,0.006047986909732354,
2007-04-30,12313.5,12368.01,12290.15,12330.32,,0.37,MASI,0.0037413426503292158,0.003734361235740135,0.0013650483254467024,0.006315171834687983,0.006314515762770195,1.0013659804279855,,0.004744935133709949,0.00832469376239499,,0.005696884653795641,0.006179282320390086,,0.0030856433493883346,0.006029144334834081,
2007-05-02,12325.2,12507.09,12317.11,12465.38,,1.1,MASI,0.010953487014124574,0.010893932070117135,0.011309254892235164,0.015306330845543697,0.015240610394548708,1.011373446272677,,0.0031339993944539887,0.005007302093341542,,0.006411022640971649,0.006340177989603845,,0.0038473048117531683,0.005953057437057091,
2007-05-03,12541.68,12572.34,12478.58,12526.45,,0.49,MASI,0.004899168737736215,0.004887206863493845,-0.0012150887899375269,0.007485588378564413,0.007484961820787232,0.9987856491315359,,0.004083899325591814,0.004740166589418926,,0.0064924073115783295,0.006311997627528548,,0.004481960210298944,0.0052459945697585575,
2007-05-04,12582.26,12598.27,12506.25,12548.02,,0.17,MASI,0.0017219563403836347,0.0017204754733131163,-0.0027250011689323957,0.007330983593498458,0.007333427903366462,0.9972787082765735,,0.00490945629919008,0.0035326681578482723,,0.005975548992943042,0.006485148866714358,,0.004837197433837931,0.004748191967898431,
2007-05-07,12563.46,12651.12,12546.69,12651.12,,0.82,MASI,0.008216435740459493,0.0081828645970547,0.006953147993676528,0.00828886303268087,0.008254605125870302,1.0069773772511714,,0.005883768047943788,0.003651495494036964,,0.0062456868506880325,0.006518459273850934,,0.005101422085166674,0.004773785125470683,
2007-05-08,12685.03,12800.6,12685.03,12723.23,,0.57,MASI,0.005699890602571145,0.005683707690894066,0.0030068984481350595,0.009069486780495267,0.009083385272450449,1.0030114237017964,,0.006273637338974574,0.003463876497277298,,0.005509286236342259,0.00606481833185045,,0.005183203443559513,0.004768073976791117,
2007-05-09,12731.98,12748.52,12380.56,12466.94,,-2.01,MASI,-0.02014346985788984,-0.020349115848898747,-0.021036597927783736,0.029287685953239547,0.02951486090411929,0.9791831278402888,,2.5027755171397325e-05,0.011621015626865093,,0.0015795135748126916,0.008593593062081895,,0.004221793510071386,0.007275420502081354,
2007-05-10,12481.44,12481.44,11902.28,11947.18,,-4.17,MASI,-0.041691064527462296,-0.0425850733802245,-0.04374747363488384,0.047512762496526105,0.04847671165915302,0.9571956440923483,,-0.009469428293572271,0.02168783340711448,,-0.0026927644839902292,0.01643355954084259,,0.0018686606277251697,0.01250285818037706,
2007-05-11,11636.42,11749.78,11474.08,11486.46,,-3.86,MASI,-0.038563075135722547,-0.03932631687030899,-0.012970884464334856,0.023743938570088143,0.024002172993246026,0.987112874922012,,-0.017678786762296693,0.0240348730411169,,-0.006384665231553307,0.020100279923911356,,-0.00011924580319162032,0.015395071530641763,
2007-05-14,11396.65,11396.65,10975.78,10975.78,,-4.45,MASI,-0.04445930251792096,-0.04547792334430804,-0.037628425515247005,0.03762842551524695,0.03834533855452633,0.9630707269241401,,-0.02841094435056924,0.021440449153326588,,-0.011263588151312728,0.023171877982683203,,-0.0024298306683745983,0.018269442974412867,
